,Media Source,Date,Text,Compound,Positive,Neutral,Negative,Tweet Count
0,BBC,Sun Mar 11 17:02:03 +0000 2018,🐑 Ewe won't believe how this farmer revives frozen little lambs.  https://t.co/z1UvoIiRXY,0.3818,0.206,0.794,0.0,1
1,BBC,Sun Mar 11 16:55:19 +0000 2018,"RT @BBCMOTD: John Motson in his element during his last ever LIVE commentary (would you believe it?!)
50 years as a commentator🎙
10 World C…",0.0,0.0,1.0,0.0,2
2,BBC,Sun Mar 11 16:00:04 +0000 2018,"By 2050, 30-50% of all species could be heading towards extinction. https://t.co/2TYrhIiBIw",0.0,0.0,1.0,0.0,3
3,BBC,Sun Mar 11 15:01:05 +0000 2018,🗑🚀 Tomorrow’s space scientists will have to deal with a monumental amount of space junk left from previous spacecra… https://t.co/IJTpc5TBsd,0.0,0.0,1.0,0.0,4
4,BBC,Sun Mar 11 14:43:09 +0000 2018,"RT @5liveSport: For the final time...

The legendary John Motson is in our commentary box 🎙️⚽️

He'll be commentating on #Arsenal vs #Watfo…",0.0,0.0,1.0,0.0,5
5,BBC,Sun Mar 11 14:00:04 +0000 2018,Making fake videos just got easier. https://t.co/VSP9bwHVNZ,-0.0772,0.257,0.459,0.284,6
6,BBC,Sun Mar 11 12:33:04 +0000 2018,"Captain America teams up with Black Widow to get to the bottom of a conspiracy. 🔥💪🇺🇸

Captain America: The Winter S… https://t.co/yDWYJRUgGi",-0.5267,0.0,0.855,0.145,7
7,BBC,Sun Mar 11 12:00:03 +0000 2018,🚐 Meet Om Abdullah - Egypt's first official female minibus driver. https://t.co/Z4fmE1k5ph,0.0,0.0,1.0,0.0,8
8,BBC,Sun Mar 11 11:31:52 +0000 2018,"RT @BBCSport: We're not emotionally ready for this.

John Motson will deliver his final live BBC commentary today.

More details👇
https://t…",-0.2755,0.0,0.905,0.095,9
9,BBC,Sun Mar 11 11:10:49 +0000 2018,"RT @CBeebiesHQ: Doesn't matter if your family has:

One Mum👩‍👦

Two Mums 👩‍👩‍👧‍👧

A Grandmum 👵🏼

... they all want a lie-in!

#HappyMothers…",0.1326,0.073,0.877,0.05,10
10,BBC,Sun Mar 11 10:32:04 +0000 2018,"🍰 Surprise your mum with a homemade treat this #MothersDay – from easy cupcakes to luscious layer cakes.
👉… https://t.co/p7n5lo2ziD",0.7717,0.355,0.645,0.0,11
